retriever,task,query_id,max_score,gap_ctx,gap_25,retrieval_success_5,retrieval_success_25,judgment
e5,biology,8,77.16497802734375,3.5876235961914062,6.71258544921875,1,1,CORRECT
e5,biology,12,77.3262710571289,2.2536087036132812,4.700187683105469,0,0,INCORRECT
e5,biology,4,74.20390319824219,1.1369476318359375,3.78167724609375,0,1,CORRECT
e5,biology,6,73.49269104003906,2.328460693359375,3.8975296020507812,0,1,CORRECT
e5,biology,5,81.32533264160156,4.707122802734375,10.067253112792969,1,1,CORRECT
e5,biology,0,72.05258178710938,1.2220687866210938,4.044677734375,1,1,CORRECT
e5,biology,11,73.08631896972656,1.88623046875,3.8874053955078125,1,1,CORRECT
e5,biology,14,78.743896484375,1.6334381103515625,4.332221984863281,1,1,INCORRECT
e5,biology,1,76.81779479980469,1.8502426147460938,6.934486389160156,0,1,INCORRECT
e5,biology,10,81.24960327148438,8.222679138183594,10.456123352050781,1,1,CORRECT
e5,biology,7,80.39469146728516,4.277000427246094,10.265083312988281,1,1,CORRECT
e5,biology,2,74.94642639160156,2.9824981689453125,4.780403137207031,0,1,CORRECT
e5,biology,9,79.73886108398438,1.4776153564453125,4.33831787109375,0,0,CORRECT
e5,biology,3,78.34523010253906,7.3336639404296875,9.716499328613281,1,1,CORRECT
e5,biology,15,73.95442962646484,2.2470321655273438,4.615348815917969,1,1,CORRECT
e5,biology,13,74.40511322021484,1.3219757080078125,4.2682647705078125,1,1,CORRECT
e5,biology,18,72.30607604980469,1.479644775390625,2.3919754028320312,0,1,CORRECT
e5,biology,20,80.04325866699219,3.1453399658203125,8.4835205078125,0,1,INCORRECT
e5,biology,17,75.81977081298828,2.2364120483398438,6.4116363525390625,1,1,CORRECT
e5,biology,22,74.23819732666016,3.9568939208984375,6.426872253417969,1,1,CORRECT
e5,biology,26,71.84430694580078,1.7307968139648438,2.751190185546875,0,0,INCORRECT
e5,biology,21,77.08953857421875,3.6625900268554688,7.983757019042969,1,1,CORRECT
e5,biology,16,75.56278991699219,1.5737457275390625,5.024078369140625,0,0,CORRECT
e5,biology,19,79.62765502929688,6.308540344238281,10.210121154785156,1,1,CORRECT
e5,biology,30,77.72592163085938,1.690826416015625,4.675201416015625,1,1,CORRECT
e5,biology,23,75.00445556640625,3.1476058959960938,5.042449951171875,0,0,INCORRECT
e5,biology,24,77.79438781738281,3.0740127563476562,5.396087646484375,1,1,CORRECT
e5,biology,27,72.30525970458984,1.9410934448242188,3.6115493774414062,1,1,CORRECT
e5,biology,25,74.88178253173828,2.2337493896484375,3.63262939453125,1,1,INCORRECT
e5,biology,29,81.41222381591797,1.965911865234375,3.7846603393554688,0,1,CORRECT
e5,biology,31,78.79943084716797,4.7859039306640625,7.9617767333984375,1,1,CORRECT
e5,biology,28,77.33964538574219,5.3984832763671875,7.81072998046875,0,0,CORRECT
e5,biology,37,74.40050506591797,2.50244140625,4.4034271240234375,0,0,INCORRECT
e5,biology,36,76.18115234375,0.7080154418945312,2.036041259765625,0,0,INCORRECT
e5,biology,43,71.85578918457031,0.42232513427734375,2.0876007080078125,0,0,INCORRECT
e5,biology,42,78.70037841796875,0.80767822265625,1.88671875,0,0,CORRECT
e5,biology,32,72.16849517822266,2.3234481811523438,3.9203338623046875,1,1,CORRECT
e5,biology,39,78.62545776367188,1.782257080078125,3.128326416015625,0,0,INCORRECT
e5,biology,33,76.14179229736328,3.0134811401367188,5.577262878417969,0,1,CORRECT
e5,biology,34,73.53440856933594,2.0547027587890625,3.6466293334960938,0,0,INCORRECT
e5,biology,45,76.71538543701172,0.8395004272460938,3.4317474365234375,0,0,INCORRECT
e5,biology,40,78.6378173828125,1.763763427734375,2.974334716796875,0,0,INCORRECT
e5,biology,38,74.87870788574219,0.5536956787109375,2.635833740234375,0,1,CORRECT
e5,biology,41,76.79332733154297,1.3734512329101562,4.337608337402344,0,0,CORRECT
e5,biology,47,79.9608383178711,2.3695449829101562,7.268226623535156,0,0,CORRECT
e5,biology,35,74.62474822998047,0.6767501831054688,3.911834716796875,1,1,CORRECT
e5,biology,53,77.61866760253906,2.1649932861328125,3.8767623901367188,0,0,CORRECT
e5,biology,54,78.22750854492188,4.0228729248046875,6.985435485839844,0,0,CORRECT
e5,biology,44,75.1387939453125,0.827880859375,2.2134857177734375,0,1,INCORRECT
e5,biology,48,73.72262573242188,0.9620437622070312,2.79962158203125,1,1,CORRECT
