retriever,task,query_id,max_score,gap_ctx,gap_25,retrieval_success_5,retrieval_success_25,judgment
qwen,biology,8,74.84888458251953,5.9764862060546875,8.482337951660156,1,1,CORRECT
qwen,biology,12,74.35448455810547,2.2761993408203125,6.1288604736328125,0,0,CORRECT
qwen,biology,11,74.66999816894531,7.230499267578125,11.986946105957031,1,1,CORRECT
qwen,biology,5,81.36376953125,6.369903564453125,12.773406982421875,1,1,CORRECT
qwen,biology,7,81.85787963867188,8.102821350097656,26.28607177734375,1,1,CORRECT
qwen,biology,4,75.58270263671875,5.19757080078125,11.011390686035156,1,1,CORRECT
qwen,biology,6,69.85857391357422,2.7452011108398438,6.225185394287109,0,1,CORRECT
qwen,biology,0,64.4351577758789,2.159496307373047,7.107158660888672,1,1,INCORRECT
qwen,biology,1,76.40129852294922,9.563728332519531,18.36511993408203,1,1,CORRECT
qwen,biology,10,74.22862243652344,10.627830505371094,14.462146759033203,1,1,CORRECT
qwen,biology,14,74.66038513183594,2.170440673828125,5.234184265136719,1,1,CORRECT
qwen,biology,9,75.80912017822266,2.004302978515625,5.025489807128906,0,1,CORRECT
qwen,biology,13,77.36459350585938,3.3382339477539062,8.682685852050781,1,1,INCORRECT
qwen,biology,3,83.79039001464844,13.862701416015625,16.65808868408203,1,1,CORRECT
qwen,biology,2,75.61602783203125,6.39141845703125,11.212944030761719,1,1,CORRECT
qwen,biology,15,72.8632583618164,2.40179443359375,5.447044372558594,0,1,INCORRECT
qwen,biology,20,85.33824920654297,3.4666824340820312,13.810783386230469,1,1,CORRECT
qwen,biology,25,76.375,2.2080764770507812,3.94854736328125,0,0,INCORRECT
qwen,biology,16,67.4332504272461,1.5120468139648438,5.645160675048828,0,1,INCORRECT
qwen,biology,17,76.24886322021484,4.8653411865234375,10.406150817871094,1,1,CORRECT
qwen,biology,23,72.22610473632812,2.2761993408203125,6.013252258300781,0,0,CORRECT
qwen,biology,18,76.91364288330078,0.901458740234375,2.521392822265625,0,0,CORRECT
qwen,biology,22,73.06694030761719,7.954078674316406,15.726318359375,1,1,CORRECT
qwen,biology,19,83.89447021484375,13.810020446777344,16.736312866210938,1,1,CORRECT
qwen,biology,21,82.90998077392578,7.791740417480469,16.833602905273438,1,1,CORRECT
qwen,biology,30,73.76960754394531,2.5279998779296875,8.618133544921875,1,1,CORRECT
qwen,biology,24,67.42656707763672,3.3545913696289062,6.999195098876953,1,1,CORRECT
qwen,biology,32,64.4334716796875,4.526458740234375,7.661579132080078,0,1,CORRECT
qwen,biology,26,65.42591094970703,1.8751068115234375,3.7957077026367188,0,1,CORRECT
qwen,biology,28,76.86052703857422,7.984397888183594,14.816032409667969,1,1,CORRECT
qwen,biology,31,79.88507080078125,6.591644287109375,12.251045227050781,1,1,CORRECT
qwen,biology,27,72.6000747680664,8.743450164794922,13.589019775390625,1,1,CORRECT
qwen,biology,29,81.23761749267578,3.1927871704101562,7.900535583496094,0,0,CORRECT
qwen,biology,43,71.41908264160156,1.1544876098632812,5.001617431640625,0,1,INCORRECT
qwen,biology,37,67.27711486816406,4.72021484375,7.241241455078125,1,1,CORRECT
qwen,biology,33,77.8620834350586,4.069587707519531,7.504173278808594,0,1,CORRECT
qwen,biology,36,68.3286361694336,3.2684478759765625,5.879413604736328,1,1,CORRECT
qwen,biology,34,72.74916076660156,5.1223602294921875,6.8983001708984375,1,1,INCORRECT
qwen,biology,35,76.75305938720703,3.8410110473632812,14.328865051269531,1,1,CORRECT
qwen,biology,38,75.19589233398438,4.143898010253906,7.869682312011719,1,1,CORRECT
qwen,biology,47,81.01512908935547,5.982063293457031,11.854080200195312,0,1,CORRECT
qwen,biology,39,74.08673858642578,4.3928070068359375,7.061164855957031,1,1,CORRECT
qwen,biology,42,79.51209259033203,4.843406677246094,8.230987548828125,0,0,CORRECT
qwen,biology,41,75.51392364501953,2.9916610717773438,6.5792694091796875,1,1,CORRECT
qwen,biology,46,73.79773712158203,0.5331649780273438,5.107330322265625,0,0,INCORRECT
qwen,biology,48,70.07170867919922,2.3561172485351562,6.797920227050781,1,1,CORRECT
qwen,biology,45,67.92840576171875,1.8978347778320312,6.5347137451171875,1,1,CORRECT
qwen,biology,44,73.97865295410156,1.7966995239257812,6.291053771972656,1,1,CORRECT
qwen,biology,54,71.68631744384766,3.6947479248046875,8.83260726928711,0,1,CORRECT
qwen,biology,40,69.39642333984375,0.27516937255859375,3.894012451171875,0,0,INCORRECT
qwen,biology,49,76.79067993164062,4.049957275390625,5.595359802246094,0,0,CORRECT
qwen,biology,51,69.93539428710938,1.4988174438476562,4.262779235839844,0,0,CORRECT
qwen,biology,50,76.38224029541016,1.4607696533203125,5.909751892089844,0,1,CORRECT
qwen,biology,53,73.53736877441406,1.7611236572265625,4.1558685302734375,1,1,CORRECT
qwen,biology,55,79.99983215332031,5.9273223876953125,11.564254760742188,0,1,INCORRECT
qwen,biology,52,78.71326446533203,9.314300537109375,12.110565185546875,0,0,CORRECT
qwen,biology,60,75.28614044189453,6.836128234863281,9.504158020019531,0,0,INCORRECT
qwen,biology,64,72.8061294555664,3.0213775634765625,7.8149566650390625,0,1,CORRECT
qwen,biology,56,78.9611587524414,4.273109436035156,9.668174743652344,0,0,CORRECT
qwen,biology,59,76.7466812133789,5.1474151611328125,10.133522033691406,1,1,CORRECT
qwen,biology,58,72.30694580078125,3.4549484252929688,7.581298828125,1,1,CORRECT
qwen,biology,57,69.3902587890625,2.0194473266601562,8.40969467163086,1,1,CORRECT
qwen,biology,65,73.8115463256836,4.328582763671875,8.285560607910156,1,1,CORRECT
qwen,biology,70,75.99168395996094,4.645301818847656,7.187934875488281,0,1,INCORRECT
qwen,biology,61,81.34464263916016,9.081069946289062,13.399314880371094,1,1,CORRECT
qwen,biology,62,77.41625213623047,2.5385971069335938,4.453369140625,0,1,CORRECT
qwen,biology,63,72.19485473632812,4.1538238525390625,8.383617401123047,0,0,INCORRECT
qwen,biology,73,75.84524536132812,4.039497375488281,7.9654541015625,0,0,INCORRECT
qwen,biology,68,75.61940002441406,3.8209915161132812,7.621528625488281,0,1,INCORRECT
qwen,biology,74,68.3427963256836,3.01513671875,7.103424072265625,1,1,INCORRECT
qwen,biology,72,76.82456970214844,4.5409393310546875,11.722099304199219,1,1,CORRECT
qwen,biology,66,68.37611389160156,1.425628662109375,4.140815734863281,1,1,CORRECT
qwen,biology,71,83.88427734375,3.9134445190429688,8.599113464355469,0,0,INCORRECT
qwen,biology,69,71.85670471191406,4.013816833496094,8.868083953857422,1,1,CORRECT
qwen,biology,81,73.12132263183594,1.7713775634765625,3.8843002319335938,0,0,CORRECT
qwen,biology,67,67.9698486328125,6.043323516845703,8.587238311767578,1,1,CORRECT
qwen,biology,77,73.39645385742188,2.1725540161132812,5.7246856689453125,0,0,CORRECT
qwen,biology,75,79.70800018310547,10.8233642578125,14.558464050292969,0,1,INCORRECT
qwen,biology,82,63.783626556396484,2.913646697998047,5.993263244628906,0,1,CORRECT
qwen,biology,80,85.30908966064453,8.945960998535156,14.452804565429688,0,1,INCORRECT
qwen,biology,76,69.87678527832031,0.649383544921875,3.1339263916015625,0,0,INCORRECT
qwen,biology,78,83.41291809082031,2.6920089721679688,6.0938568115234375,0,0,CORRECT
qwen,biology,79,75.58190155029297,3.671661376953125,8.492881774902344,1,1,CORRECT
qwen,biology,83,76.3184814453125,4.872703552246094,7.784004211425781,0,0,CORRECT
qwen,biology,84,83.5353775024414,9.250320434570312,12.674125671386719,1,1,INCORRECT
qwen,biology,92,80.06495666503906,2.2185516357421875,5.0589141845703125,0,0,CORRECT
qwen,biology,88,77.6801528930664,1.7720870971679688,4.724617004394531,0,0,CORRECT
qwen,biology,85,73.88285064697266,7.054656982421875,12.266555786132812,1,1,CORRECT
qwen,biology,89,69.79366302490234,1.8596954345703125,3.7021636962890625,0,1,INCORRECT
qwen,biology,86,75.79845428466797,9.022308349609375,13.504669189453125,1,1,CORRECT
qwen,biology,87,72.78996276855469,4.0659942626953125,7.1485137939453125,0,0,INCORRECT
qwen,biology,90,76.23780059814453,4.00555419921875,8.398406982421875,0,1,INCORRECT
qwen,biology,94,76.70123291015625,1.3958969116210938,3.5957870483398438,0,1,INCORRECT
qwen,biology,91,72.16503143310547,4.1161956787109375,10.925834655761719,0,0,INCORRECT
qwen,biology,93,76.1484603881836,1.7733154296875,6.830039978027344,0,0,INCORRECT
qwen,biology,95,78.2314453125,8.809524536132812,11.635978698730469,1,1,CORRECT
qwen,biology,101,72.95758819580078,1.7236328125,5.130592346191406,0,0,INCORRECT
qwen,biology,96,79.15766906738281,5.179801940917969,8.024299621582031,1,1,CORRECT
qwen,biology,97,76.18055725097656,3.4193801879882812,7.192863464355469,1,1,CORRECT
qwen,biology,98,69.94591522216797,3.3523406982421875,8.041770935058594,1,1,CORRECT
qwen,biology,99,73.0763168334961,9.85287857055664,12.34124755859375,1,1,CORRECT
qwen,biology,102,72.9000244140625,6.5527496337890625,11.578567504882812,0,0,CORRECT
qwen,biology,100,69.21444702148438,1.9824371337890625,6.767055511474609,0,1,CORRECT
qwen,aops,aops_2019_AMC_12A_Problems/Problem_17,86.9491958618164,4.5832061767578125,7.297874450683594,0,0,CORRECT
qwen,aops,math_train_intermediate_algebra_513,81.45413208007812,3.81365966796875,6.280548095703125,1,1,CORRECT
qwen,aops,math_train_number_theory_839,76.59954833984375,1.7588958740234375,4.416252136230469,0,0,INCORRECT
qwen,aops,math_train_number_theory_7095,83.61067962646484,1.4979934692382812,4.658988952636719,0,0,INCORRECT
qwen,aops,math_train_counting_and_probability_5024,79.6059341430664,3.2232818603515625,5.880485534667969,0,0,INCORRECT
qwen,aops,aops_2015_AMC_10B_Problems/Problem_15,76.50638580322266,1.6142730712890625,3.9081649780273438,0,0,CORRECT
qwen,aops,math_test_intermediate_algebra_1179,81.05365753173828,4.943359375,9.741912841796875,0,0,INCORRECT
qwen,aops,math_train_number_theory_7012,79.74860382080078,1.509613037109375,3.2943878173828125,0,0,INCORRECT
qwen,aops,aops_2000_AIME_I_Problems/Problem_9,76.84315490722656,2.3734588623046875,4.897773742675781,0,0,INCORRECT
qwen,aops,aops_2008_AMC_12B_Problems/Problem_16,89.0923843383789,1.5308761596679688,4.027778625488281,0,0,INCORRECT
qwen,aops,aops_2008_AMC_12A_Problems/Problem_15,87.52143096923828,4.110816955566406,5.928642272949219,1,1,INCORRECT
qwen,aops,math_train_number_theory_7030,88.99954986572266,9.873420715332031,12.897171020507812,0,0,INCORRECT
qwen,aops,math_train_number_theory_7016,81.03150939941406,3.0406341552734375,7.3332366943359375,1,1,INCORRECT
qwen,aops,aops_2024_AIME_I_Problems/Problem_13,77.67003631591797,3.5413436889648438,7.0772857666015625,1,1,INCORRECT
qwen,aops,aops_2021_AIME_I_Problems/Problem_14,84.74579620361328,3.4565200805664062,6.827384948730469,1,1,INCORRECT
qwen,aops,aops_2005_IMO_Problems/Problem_4,77.49713897705078,5.485481262207031,8.730796813964844,1,1,INCORRECT
qwen,aops,aops_2005_USAMO_Problems/Problem_2,76.748779296875,1.9184646606445312,5.981986999511719,1,1,INCORRECT
qwen,aops,math_train_counting_and_probability_5035,79.50617980957031,2.7725143432617188,4.892875671386719,1,1,INCORRECT
qwen,aops,math_train_geometry_6018,83.53978729248047,5.483436584472656,8.667190551757812,0,1,INCORRECT
qwen,aops,aops_2023_AIME_I_Problems/Problem_5,84.30754089355469,4.813446044921875,7.110984802246094,0,0,INCORRECT
qwen,aops,math_train_geometry_6173,87.0346908569336,2.1623992919921875,4.074272155761719,1,1,INCORRECT
qwen,aops,aops_2004_AIME_I_Problems/Problem_10,83.02804565429688,2.7433547973632812,5.205314636230469,1,1,INCORRECT
qwen,aops,aops_2017_AMC_10B_Problems/Problem_14,86.7631607055664,1.6453704833984375,4.856239318847656,0,1,INCORRECT
qwen,aops,math_train_counting_and_probability_5011,74.24227142333984,4.491981506347656,7.210762023925781,0,1,INCORRECT
qwen,aops,math_test_geometry_454,85.56655883789062,2.6777725219726562,5.175453186035156,0,0,INCORRECT
qwen,aops,aops_2001_AMC_10_Problems/Problem_19,81.24188995361328,1.275848388671875,5.160392761230469,1,1,CORRECT
qwen,aops,math_test_counting_and_probability_1009,84.91291046142578,4.1558380126953125,6.923454284667969,1,1,CORRECT
qwen,aops,aops_2007_AIME_I_Problems/Problem_10,82.44599914550781,2.7152328491210938,6.552421569824219,0,1,INCORRECT
qwen,aops,aops_2018_AMC_8_Problems/Problem_23,83.12545013427734,2.4380416870117188,4.749298095703125,0,0,INCORRECT
qwen,aops,aops_2019_AMC_8_Problems/Problem_25,82.88937377929688,1.705169677734375,4.62213134765625,1,1,CORRECT
qwen,aops,aops_2018_AMC_10A_Problems/Problem_11,83.61164093017578,0.5734024047851562,3.4287490844726562,0,1,INCORRECT
qwen,aops,math_train_counting_and_probability_5131,81.14336395263672,1.2919387817382812,3.55078125,0,0,INCORRECT
qwen,aops,aops_2021_AIME_II_Problems/Problem_9,80.53900909423828,4.093971252441406,7.2171478271484375,0,0,INCORRECT
qwen,aops,aops_2007_iTest_Problems/Problem_6,84.18758392333984,2.0195083618164062,5.327056884765625,0,0,INCORRECT
qwen,aops,aops_2020_AMC_10A_Problems/Problem_24,87.75391387939453,1.7198715209960938,5.3706207275390625,0,0,INCORRECT
qwen,aops,aops_1959_IMO_Problems/Problem_1,58.02778625488281,2.183795928955078,6.0920257568359375,0,0,INCORRECT
qwen,aops,math_train_number_theory_7003,74.10588073730469,1.5033798217773438,4.054412841796875,0,0,CORRECT
qwen,aops,aops_2021_AIME_I_Problems/Problem_10,77.76656341552734,2.387298583984375,4.6605072021484375,0,0,INCORRECT
qwen,aops,aops_2020_AMC_10B_Problems/Problem_25,83.25865173339844,0.35601806640625,3.9901809692382812,0,0,INCORRECT
qwen,aops,math_test_counting_and_probability_838,81.67649841308594,2.4123077392578125,5.1221466064453125,0,1,CORRECT
qwen,aops,math_train_number_theory_7066,81.25908660888672,4.5419158935546875,6.2997283935546875,0,0,INCORRECT
qwen,aops,aops_1987_IMO_Problems/Problem_1,67.8791275024414,3.0618133544921875,5.380092620849609,0,0,INCORRECT
qwen,aops,aops_2020_AMC_8_Problems/Problem_12,81.29563903808594,0.9177398681640625,3.3477020263671875,0,1,INCORRECT
qwen,aops,math_train_intermediate_algebra_659,74.19683837890625,4.031272888183594,6.161399841308594,0,0,INCORRECT
qwen,aops,aops_2000_AMC_12_Problems/Problem_4,85.19857788085938,5.27783203125,7.975028991699219,0,0,INCORRECT
qwen,aops,aops_1981_IMO_Problems/Problem_3,78.00592041015625,1.0029983520507812,3.797760009765625,0,0,INCORRECT
qwen,aops,math_train_intermediate_algebra_477,82.56368255615234,3.3571243286132812,6.3563690185546875,0,0,INCORRECT
qwen,aops,aops_1990_AIME_Problems/Problem_9,78.43930053710938,2.4937820434570312,6.152610778808594,0,0,INCORRECT
qwen,aops,math_train_counting_and_probability_5047,81.56378173828125,1.0145416259765625,4.089118957519531,0,0,INCORRECT
qwen,aops,aops_2005_AMC_12A_Problems/Problem_18,83.17508697509766,2.4024581909179688,5.6752166748046875,0,1,INCORRECT
qwen,aops,aops_2020_AIME_II_Problems/Problem_9,78.0579833984375,1.2948455810546875,3.9488143920898438,0,0,INCORRECT
qwen,aops,aops_2017_AMC_10B_Problems/Problem_13,86.62078857421875,2.13946533203125,5.350776672363281,1,1,INCORRECT
qwen,aops,aops_2011_AMC_8_Problems/Problem_6,83.6740493774414,1.9300460815429688,5.0200347900390625,0,0,INCORRECT
qwen,aops,math_train_counting_and_probability_5048,79.04283142089844,1.2083587646484375,3.3003387451171875,0,0,INCORRECT
qwen,aops,math_train_counting_and_probability_5045,76.47428131103516,4.7385711669921875,7.00958251953125,0,0,INCORRECT
