retriever,task,query_id,max_score,gap_ctx,gap_25,retrieval_success_5,retrieval_success_25,judgment
rader,biology,12,0.8581525823948678,0.0046704127826325825,0.02029165525080978,0,0,INCORRECT
rader,biology,8,0.8609582640411195,0.04018567878999446,0.062453002106782285,0,1,INCORRECT
rader,biology,4,0.8700052645790186,0.04934368376665921,0.08433084607372132,1,1,CORRECT
rader,biology,5,0.8731548819240152,0.05272224596973618,0.08537464113283644,1,1,CORRECT
rader,biology,0,0.7755625024367436,0.02720291052828705,0.04081069462368492,1,1,INCORRECT
rader,biology,11,0.7514241572950341,0.022858585548198307,0.0431236124139498,1,1,INCORRECT
rader,biology,13,0.8179733803321493,0.019574587411990474,0.038237111867316265,1,1,INCORRECT
rader,biology,7,0.8799326175819582,0.02176844992139404,0.1290865340282319,1,1,CORRECT
rader,biology,1,0.8667399822257803,0.029532835199633567,0.08673499473109114,1,1,CORRECT
rader,biology,2,0.8356098269184865,0.04362916142079065,0.06342660376191667,0,1,INCORRECT
rader,biology,3,0.8681638439423087,0.03230391617459605,0.07252989547938304,1,1,CORRECT
rader,biology,6,0.8585740905630975,0.00846658293229674,0.028217299470193136,1,1,CORRECT
rader,biology,10,0.856284925880964,0.06168833740494184,0.07204920184030206,1,1,CORRECT
rader,biology,14,0.8380394851801203,0.015264884201395268,0.038884720766196534,1,1,CORRECT
rader,biology,15,0.8197194814295179,0.006316547734264044,0.02418966263660094,1,1,CORRECT
rader,biology,9,0.828679558028992,0.01137114661646299,0.026888482954179782,0,1,CORRECT
rader,biology,20,0.8503581797736046,0.008536771751090688,0.038997756501038316,0,1,INCORRECT
rader,biology,16,0.8407910443596868,0.011384532215540921,0.047734213379813206,0,1,INCORRECT
rader,biology,18,0.7953669773381049,0.019070074853182573,0.03628209248369385,0,1,CORRECT
rader,biology,24,0.8512382884139934,0.03410817187141346,0.0536162172234419,1,1,CORRECT
rader,biology,19,0.8915034225364058,0.05354935848630482,0.07935257888456693,1,1,CORRECT
rader,biology,22,0.7816655066898939,0.03404250403101072,0.06107518121449873,1,1,CORRECT
rader,biology,23,0.7842344355549622,0.004302047115347429,0.01566842619711295,0,0,CORRECT
rader,biology,25,0.863804814250686,0.032924410925217806,0.06446125336965547,1,1,CORRECT
rader,biology,28,0.8655075789726596,0.03445094326555287,0.06831608535974243,0,1,CORRECT
rader,biology,21,0.8796747208383657,0.016103458283663774,0.07305212096103608,1,1,CORRECT
rader,biology,26,0.8028820807816824,0.010152841437170101,0.025138009438816056,0,1,INCORRECT
rader,biology,29,0.8698953412613527,0.0036518726235904575,0.05659201194713148,0,1,INCORRECT
rader,biology,31,0.8625140123594882,0.014672166081995397,0.0521574429578876,0,1,CORRECT
rader,biology,30,0.8814940013224084,0.029666959111846802,0.060548938112011896,1,1,CORRECT
rader,biology,27,0.7858683701089233,0.012840694811041442,0.031295040639761074,0,1,CORRECT
rader,biology,17,0.8659907158848058,0.011994154778482646,0.04005818757108903,1,1,CORRECT
rader,biology,46,0.8282905817465058,0.009787843267566987,0.022506833502700885,0,0,CORRECT
rader,biology,34,0.8532249948559228,0.014900235463709222,0.045746173281075,0,0,INCORRECT
rader,biology,33,0.8550636326134727,0.011361742974277722,0.02167051745801285,0,0,CORRECT
rader,biology,36,0.8238334893910043,0.004532422144916004,0.013956341774475023,0,0,CORRECT
rader,biology,32,0.8050110433921581,0.01921170793011695,0.04671884929530001,0,1,CORRECT
rader,biology,42,0.8449036074293766,0.005913234285954361,0.02179104883477334,0,1,CORRECT
rader,biology,44,0.8453777445350085,0.025983725543644254,0.05920867088731263,0,0,INCORRECT
rader,biology,41,0.8672792967660506,0.016105247372905418,0.03924045423980638,0,1,CORRECT
rader,biology,43,0.8464824627957904,0.03463724391954037,0.05371092155212165,0,0,CORRECT
rader,biology,37,0.7668576313559766,0.014417262502178896,0.032492985884206904,1,1,CORRECT
rader,biology,38,0.8435346531269204,0.02003827067863817,0.04480200029783166,1,1,CORRECT
rader,biology,47,0.8608954587575927,0.006367940165766028,0.07698676580974961,0,1,CORRECT
rader,biology,40,0.8965159425974862,0.018319510105151537,0.03769487706008534,0,0,CORRECT
rader,biology,39,0.8709838796616668,0.004456384527694479,0.01723693572404894,0,0,INCORRECT
rader,biology,45,0.7948278382539157,0.028749084605015685,0.04573984165916711,1,1,CORRECT
rader,biology,35,0.8576369580624987,0.021152398451189658,0.07679163154895197,1,1,CORRECT
rader,biology,48,0.7833033025700618,0.014479415984193111,0.03724825847796309,1,1,CORRECT
rader,biology,49,0.8826776340747955,0.01940005460899208,0.03713905601987855,0,0,INCORRECT
rader,biology,50,0.8926812278329805,0.01021497462576848,0.04773692950857722,0,0,CORRECT
rader,biology,51,0.8566398150891907,0.012218361334287997,0.04349543607723416,0,0,CORRECT
rader,biology,53,0.8219909602751821,0.023125708148525215,0.04241374699398581,0,1,CORRECT
rader,biology,52,0.8529874103751891,0.015052852615012435,0.050297813012348924,0,1,CORRECT
rader,biology,54,0.8554568522427416,0.024497754968855978,0.05625548966477012,0,1,CORRECT
rader,biology,64,0.8341092772852191,0.03012280295920977,0.06831375396250594,0,1,CORRECT
rader,biology,59,0.8565350332569814,0.026576987563747823,0.05178115844320674,0,1,CORRECT
rader,biology,56,0.9006890065699604,0.03411693409349548,0.06752850005505029,0,0,CORRECT
rader,biology,58,0.816952770812246,0.006049916009014389,0.032305464725826294,0,1,CORRECT
rader,biology,62,0.8867649868115896,0.017802735752729615,0.03215578209027026,0,1,CORRECT
rader,biology,60,0.8355624156554307,0.03408736882223651,0.07150262782695282,0,0,CORRECT
rader,biology,57,0.8291351492798289,0.014228035222038526,0.05323416502378564,1,1,CORRECT
rader,biology,61,0.8220522308267773,0.03082551256636301,0.057195339828319036,1,1,CORRECT
rader,biology,67,0.7804740846251733,0.005997533976525138,0.025592670547781804,0,1,CORRECT
rader,biology,55,0.8055636675790394,0.019399069756856346,0.04220125592438917,1,1,CORRECT
rader,biology,70,0.8515329413998542,0.015352822390172105,0.02858841044720717,0,1,INCORRECT
rader,biology,75,0.8461480381077116,0.04508609464154645,0.06317426651365643,0,1,INCORRECT
rader,biology,65,0.8280763236267,0.0074471453919982,0.05543276013150433,1,1,CORRECT
rader,biology,66,0.8219681456132126,0.05587722336582168,0.08458210199765048,1,1,CORRECT
rader,biology,63,0.8063300358689929,0.03259666044197784,0.04844688862388247,1,1,CORRECT
rader,biology,74,0.8157898898699582,0.04028572180612633,0.06235632539842684,1,1,CORRECT
rader,biology,69,0.8975229157672915,0.016788402333334895,0.05718253950890495,0,1,INCORRECT
rader,biology,76,0.8326753006443116,0.017131709433707232,0.03019429353013825,0,0,INCORRECT
rader,biology,68,0.8546941477204653,0.009119966838938565,0.02679833214877969,0,0,INCORRECT
rader,biology,71,0.8718104106282296,0.01290994780352539,0.031435672950901106,0,0,INCORRECT
rader,biology,80,0.8789076419480498,0.03691668584222374,0.06499663080634122,0,0,INCORRECT
rader,biology,81,0.8463869368573138,0.010464761205956186,0.01991005513765054,0,0,CORRECT
rader,biology,72,0.8361704250363723,0.010215787126453546,0.03139790883178972,1,1,CORRECT
rader,biology,78,0.8951237857257613,0.015546011167815288,0.025252084803022656,1,1,CORRECT
rader,biology,82,0.7901566823610718,0.006569468996416528,0.03278823090108052,0,1,CORRECT
rader,biology,73,0.8476124537308246,0.062329105527024864,0.09115199237027238,0,0,CORRECT
rader,biology,77,0.856086082316745,0.0187561949982753,0.03733510052859812,0,0,CORRECT
rader,biology,79,0.8212210324874208,0.022756978408669748,0.043348084829690325,0,1,INCORRECT
rader,biology,85,0.8639544928866559,0.027170822873998413,0.045115388594536676,0,0,CORRECT
rader,biology,84,0.8837205026354003,0.04250304249280956,0.06159742263871548,1,1,CORRECT
rader,biology,93,0.8435596405136203,0.021603510573361517,0.040264064551529755,0,0,INCORRECT
rader,biology,88,0.906365165265013,0.030925926785062563,0.05409289536518669,0,0,CORRECT
rader,biology,89,0.8628463636060031,0.020567722809205824,0.04138774350974572,0,1,INCORRECT
rader,biology,91,0.8850743748988534,0.029298102058571085,0.06987472708449072,0,0,CORRECT
rader,biology,86,0.8532649563803437,0.005985822324391377,0.04093648122438054,1,1,CORRECT
rader,biology,83,0.8482482410978599,0.0071355367879627485,0.0414722167678524,0,1,INCORRECT
rader,biology,87,0.83821498678889,0.013991952010433573,0.047713247352784594,0,1,CORRECT
rader,biology,97,0.8431208488440752,0.016246213488482986,0.04956309046747265,1,1,CORRECT
rader,biology,92,0.8277126194219195,0.0074423673183858785,0.017861230107877657,0,0,CORRECT
rader,biology,94,0.8697371137429698,0.04559894037370249,0.06882260849766086,1,1,CORRECT
rader,biology,99,0.8304735589512957,0.05050815622464189,0.07568959385689022,1,1,CORRECT
rader,biology,95,0.8616199165073748,0.05994582255390046,0.07884285746234121,0,0,INCORRECT
rader,biology,98,0.8472478602810875,0.013917876552804409,0.04391011976108228,0,0,CORRECT
rader,biology,96,0.8423188065776026,0.011336849454567588,0.028996652246586097,1,1,CORRECT
rader,biology,101,0.8469888135728901,0.022522232187939584,0.03706586515456889,0,1,CORRECT
rader,biology,100,0.8669458085168608,0.05151475640087133,0.08089631294730282,1,1,CORRECT
rader,biology,90,0.7948152722798193,0.018020105864664626,0.03728653175440644,0,0,CORRECT
