retriever,task,query_id,max_score,gap_ctx,gap_25,retrieval_success_5,retrieval_success_25,judgment
sf,biology,12,77.13158416748047,1.991943359375,6.28070068359375,0,0,INCORRECT
sf,biology,8,76.14021301269531,5.82659912109375,9.039848327636719,1,1,CORRECT
sf,biology,1,76.20911407470703,1.7821731567382812,9.23565673828125,1,1,CORRECT
sf,biology,4,78.8443603515625,7.106239318847656,9.871833801269531,0,1,CORRECT
sf,biology,5,82.17919158935547,5.970191955566406,11.076629638671875,1,1,CORRECT
sf,biology,11,71.80738830566406,1.9641876220703125,5.459358215332031,1,1,CORRECT
sf,biology,0,69.1031723022461,1.8905868530273438,5.298225402832031,1,1,CORRECT
sf,biology,7,80.30799865722656,2.7266921997070312,12.635848999023438,1,1,CORRECT
sf,biology,6,71.92327117919922,1.8350906372070312,3.7029571533203125,0,1,CORRECT
sf,biology,15,71.50839233398438,0.670684814453125,4.034568786621094,1,1,CORRECT
sf,biology,3,77.0553207397461,8.391708374023438,11.393806457519531,1,1,CORRECT
sf,biology,14,78.83866119384766,2.1297683715820312,7.578605651855469,1,1,CORRECT
sf,biology,2,70.77093505859375,1.236236572265625,2.6755294799804688,0,1,CORRECT
sf,biology,10,80.87555694580078,10.537811279296875,13.078361511230469,1,1,CORRECT
sf,biology,9,76.3675308227539,0.23593902587890625,1.961273193359375,0,0,CORRECT
sf,biology,13,70.75004577636719,0.71368408203125,3.9999542236328125,1,1,INCORRECT
sf,biology,20,80.5094223022461,4.855430603027344,10.577590942382812,0,1,INCORRECT
sf,biology,16,77.001953125,3.7688446044921875,7.697296142578125,0,0,CORRECT
sf,biology,19,79.09196472167969,6.3440704345703125,10.517333984375,1,1,CORRECT
sf,biology,17,73.57650756835938,2.4318771362304688,6.593742370605469,1,1,CORRECT
sf,biology,23,73.56298828125,3.3398971557617188,6.3522186279296875,0,0,INCORRECT
sf,biology,18,72.64958953857422,4.372406005859375,6.2181243896484375,0,1,CORRECT
sf,biology,21,77.83893585205078,4.164283752441406,11.546440124511719,1,1,CORRECT
sf,biology,22,72.52729797363281,4.5825653076171875,8.537704467773438,1,1,CORRECT
sf,biology,30,76.22919464111328,1.5994186401367188,5.578857421875,1,1,CORRECT
sf,biology,24,76.40400695800781,4.325775146484375,7.013679504394531,1,1,CORRECT
sf,biology,27,69.75151062011719,1.7027816772460938,4.145240783691406,0,1,INCORRECT
sf,biology,28,79.81123352050781,9.136215209960938,11.853813171386719,0,0,CORRECT
sf,biology,26,69.30096435546875,1.8114700317382812,3.6524887084960938,0,0,INCORRECT
sf,biology,29,79.31316375732422,0.954254150390625,3.361053466796875,0,1,CORRECT
sf,biology,25,72.18791961669922,1.3896484375,3.8161544799804688,1,1,INCORRECT
sf,biology,31,79.28904724121094,3.7144699096679688,8.7025146484375,1,1,CORRECT
sf,biology,37,70.00456237792969,1.9603729248046875,4.182701110839844,0,0,INCORRECT
sf,biology,34,74.54231262207031,1.6323013305664062,6.153861999511719,0,0,INCORRECT
sf,biology,43,67.95826721191406,0.603057861328125,1.7745819091796875,0,0,INCORRECT
sf,biology,45,74.4034652709961,2.36083984375,5.1815338134765625,0,1,INCORRECT
sf,biology,42,78.68242645263672,0.9192276000976562,2.6807785034179688,0,0,CORRECT
sf,biology,36,74.59394836425781,1.519073486328125,3.3614120483398438,0,0,CORRECT
sf,biology,32,68.81827545166016,2.9068756103515625,5.386177062988281,1,1,CORRECT
sf,biology,33,73.9780044555664,2.2636871337890625,5.4788665771484375,0,0,CORRECT
sf,biology,47,79.38786315917969,3.8311386108398438,9.40399169921875,0,0,CORRECT
sf,biology,35,74.90050506591797,2.2689285278320312,6.378173828125,1,1,CORRECT
sf,biology,46,75.35140991210938,2.3635940551757812,4.0146331787109375,0,0,INCORRECT
sf,biology,39,76.88037872314453,1.9489212036132812,3.37506103515625,0,0,INCORRECT
sf,biology,41,74.94132995605469,0.8777999877929688,3.5413360595703125,0,0,CORRECT
sf,biology,40,77.67768096923828,2.0485458374023438,3.266632080078125,0,0,INCORRECT
sf,biology,48,71.73417663574219,0.45842742919921875,3.3932037353515625,1,1,CORRECT
sf,biology,38,73.52265930175781,1.5778350830078125,4.314933776855469,1,1,CORRECT
sf,biology,44,73.1365966796875,1.776824951171875,3.30291748046875,1,1,CORRECT
sf,biology,54,76.19864654541016,4.072105407714844,8.491073608398438,0,0,CORRECT
sf,biology,50,76.80044555664062,3.3266067504882812,6.753936767578125,0,0,CORRECT
sf,biology,53,77.02975463867188,2.2683792114257812,5.191192626953125,0,0,CORRECT
sf,biology,49,76.4915542602539,1.5611953735351562,4.2790985107421875,0,0,INCORRECT
sf,biology,51,79.10990905761719,3.452545166015625,6.871116638183594,0,0,CORRECT
sf,biology,52,78.50405883789062,5.007759094238281,7.5222015380859375,0,0,INCORRECT
sf,biology,55,78.35462951660156,2.3081512451171875,6.2409820556640625,0,1,INCORRECT
sf,biology,61,77.48750305175781,6.429283142089844,9.881980895996094,1,1,CORRECT
sf,biology,56,79.44015502929688,3.9301986694335938,9.250228881835938,0,0,CORRECT
sf,biology,59,77.27640533447266,0.7777328491210938,4.091148376464844,0,1,CORRECT
sf,biology,60,76.96691131591797,5.37823486328125,7.8050537109375,0,0,CORRECT
sf,biology,58,76.272705078125,1.2874374389648438,4.848731994628906,0,0,CORRECT
sf,biology,57,77.07406616210938,1.0151748657226562,7.259208679199219,1,1,CORRECT
sf,biology,63,68.86532592773438,1.2111358642578125,4.637901306152344,0,0,CORRECT
sf,biology,66,72.53761291503906,5.1557464599609375,8.672172546386719,1,1,CORRECT
sf,biology,62,77.55021667480469,2.7511062622070312,5.7973785400390625,0,1,CORRECT
sf,biology,67,68.39993286132812,0.8475723266601562,3.3236923217773438,0,1,INCORRECT
sf,biology,64,75.98982238769531,3.760345458984375,8.126754760742188,0,1,INCORRECT
sf,biology,69,76.24494934082031,1.4408798217773438,7.3401947021484375,0,1,CORRECT
sf,biology,74,70.37743377685547,3.1987838745117188,5.534538269042969,0,1,INCORRECT
sf,biology,65,75.71773529052734,1.936492919921875,7.4236297607421875,1,1,CORRECT
sf,biology,76,68.77205657958984,0.7034835815429688,1.8961410522460938,0,0,INCORRECT
sf,biology,68,79.5576400756836,4.3761444091796875,6.340293884277344,0,0,CORRECT
sf,biology,70,71.40779113769531,2.8910751342773438,5.358909606933594,1,1,CORRECT
sf,biology,75,76.41434478759766,4.8114776611328125,8.742950439453125,0,1,INCORRECT
sf,biology,81,77.01018524169922,2.6938323974609375,4.72607421875,0,0,INCORRECT
sf,biology,83,76.55355072021484,4.201240539550781,7.542022705078125,0,0,INCORRECT
sf,biology,82,69.4425277709961,2.1725845336914062,4.758338928222656,0,0,CORRECT
sf,biology,71,78.47838592529297,1.2974700927734375,3.7554931640625,0,0,INCORRECT
