retriever,n,max_score,gap_ctx,gap_25
bm25,1384,0.572616492189822,0.5651816870865118,0.5855398874982112
sbert,1384,0.5172585980900068,0.5563958465228673,0.5624481707045217
contriever,1384,0.4882426455405948,0.551357871743879,0.5582314522000891
e5,1384,0.509796626984127,0.5243066829004329,0.5519886363636364
bge,1384,0.5138739461169212,0.5706950894895697,0.5769443237885217
sf,1384,0.510537459098989,0.5520147639912594,0.5762598643614913
inst-l,1384,0.5133167851871729,0.5548157341562682,0.5737577709199875
inst-xl,1384,0.525415004942564,0.5684528070354842,0.5763586369885583
qwen,1384,0.5279106748421274,0.5385928492214064,0.5513074321537573
qwen2,1384,0.42923679695831596,0.5579531228265406,0.5847811471229192
nomic,1384,0.48111630270983613,0.5944586123569957,0.6030210348917046
rader,1384,0.5381980020491803,0.5243248682669789,0.5369630049765808
reasonir,1384,0.5300677728977214,0.5503893214682981,0.5885118631239752
diver-retriever,1384,0.5269640540615139,0.5626408810297081,0.5942143323734256
