retriever,n,baseline,max_score@10,max_score@25,max_score@50,max_score@75,max_score@100,gap_ctx@10,gap_ctx@25,gap_ctx@50,gap_ctx@75,gap_ctx@100,gap_25@10,gap_25@25,gap_25@50,gap_25@75,gap_25@100,random@10,random@25,random@50,random@75,random@100
bm25,1384,61.34,75.36,71.68,66.18,63.68,61.34,71.74,70.52,66.33,62.72,61.34,74.64,71.97,68.93,63.58,61.34,58.7,63.29,63.29,62.43,61.34
sbert,1384,62.57,68.12,65.32,64.31,63.29,62.57,72.46,68.79,65.61,64.64,62.57,73.19,68.21,67.92,64.74,62.57,66.67,62.43,63.73,62.43,62.57
contriever,1384,59.9,54.35,57.8,60.26,59.63,59.9,68.12,64.16,63.58,61.56,59.9,70.29,65.32,64.31,62.43,59.9,65.22,61.85,60.4,59.25,59.9
e5,1384,63.58,65.22,65.32,64.45,63.58,63.58,67.39,66.76,64.74,64.74,63.58,68.12,68.5,67.05,65.51,63.58,60.14,60.69,62.43,63.39,63.58
bge,1384,62.5,68.84,66.18,61.99,62.91,62.5,71.01,69.94,68.06,64.35,62.5,74.64,70.81,68.06,64.55,62.5,57.97,61.56,64.16,62.72,62.5
sf,1384,63.95,69.57,65.9,64.31,64.45,63.95,69.57,69.65,66.91,66.57,63.95,72.46,72.54,69.22,66.67,63.95,62.32,63.01,61.71,63.78,63.95
inst-l,1384,62.86,64.49,67.34,63.58,63.01,62.86,77.54,69.36,65.61,64.07,62.86,76.09,73.41,68.21,65.61,62.86,64.49,65.03,62.72,62.81,62.86
inst-xl,1384,64.23,66.67,68.21,66.04,65.03,64.23,75.36,69.08,67.92,66.57,64.23,76.09,73.12,69.65,66.86,64.23,63.77,63.87,64.45,64.16,64.23
qwen,1384,64.88,71.74,65.61,66.33,66.47,64.88,71.01,66.76,68.21,66.96,64.88,77.54,71.68,68.93,65.8,64.88,65.22,63.29,66.33,64.26,64.88
qwen2,1384,65.75,39.13,55.78,62.57,64.26,65.75,69.57,74.28,69.51,67.15,65.75,76.81,76.01,71.39,68.21,65.75,69.57,66.18,65.61,65.8,65.75
nomic,1384,62.57,66.67,63.58,61.56,61.18,62.57,73.91,72.83,68.79,65.7,62.57,78.26,71.97,69.65,65.99,62.57,61.59,64.74,60.84,61.56,62.57
rader,1384,64.74,72.46,68.5,66.91,65.9,64.74,63.04,65.32,66.18,65.8,64.74,66.67,66.76,67.63,66.96,64.74,65.22,61.27,65.9,64.64,64.74
reasonir,1384,64.96,69.57,69.36,67.2,65.41,64.96,68.12,67.92,68.79,67.44,64.96,73.91,71.1,70.81,68.79,64.96,61.59,61.85,65.61,65.51,64.96
diver-retriever,1384,65.17,69.57,67.63,67.34,67.15,65.17,72.46,71.39,68.64,67.73,65.17,78.99,73.12,71.1,68.98,65.17,58.7,61.56,65.61,65.51,65.17
