retriever,task,n,max_score,gap_ctx,gap_25
bm25,aops,111,0.47631578947368425,0.4723684210526316,0.40592105263157896
bm25,biology,103,0.635632183908046,0.6781609195402298,0.6739463601532566
bm25,earth_science,116,0.6740890688259109,0.605263157894737,0.6663292847503374
bm25,economics,103,0.6367731367731368,0.6085176085176085,0.6425061425061425
bm25,leetcode,142,0.4910547396528704,0.49185580774365817,0.5100133511348465
bm25,pony,112,0.30128205128205127,0.3597285067873303,0.3125942684766214
bm25,psychology,101,0.5743902439024391,0.5369918699186992,0.5784552845528455
bm25,robotics,101,0.5790229885057472,0.5378352490421456,0.5900383141762452
bm25,stackoverflow,117,0.48708133971291867,0.49999999999999994,0.46172248803827753
bm25,sustainable_living,108,0.6067994505494505,0.5666208791208791,0.5958104395604396
bm25,theoremqa_questions,194,0.46210801393728224,0.4773519163763066,0.4776785714285714
bm25,theoremqa_theorems,76,0.571764705882353,0.5356862745098039,0.5607843137254902
sbert,aops,111,0.6936363636363637,0.54,0.46818181818181814
sbert,biology,103,0.5959079283887467,0.5490196078431373,0.6018755328218244
sbert,earth_science,116,0.566592261904762,0.5658482142857143,0.5591517857142857
sbert,economics,103,0.45822676896845693,0.49786871270247224,0.42455242966751916
sbert,leetcode,142,0.5275974025974026,0.5431354359925789,0.5438311688311688
sbert,pony,112,0.5865793780687397,0.5793780687397708,0.5407528641571195
sbert,psychology,101,0.5757894736842106,0.42315789473684207,0.55
sbert,robotics,101,0.6169275929549902,0.5264187866927592,0.5469667318982387
sbert,stackoverflow,117,0.35892691951896394,0.4972247918593895,0.38390379278445885
sbert,sustainable_living,108,0.5772584583188001,0.5514475061039414,0.4879665155214509
sbert,theoremqa_questions,194,0.45753484320557497,0.5358231707317074,0.514808362369338
sbert,theoremqa_theorems,76,0.5572390572390572,0.6153198653198653,0.6060606060606061
contriever,aops,111,0.5249999999999999,0.49144736842105263,0.5736842105263158
contriever,biology,103,0.5900865460267506,0.6089693154996066,0.6302124311565697
contriever,earth_science,116,0.5333561409510776,0.45638043106397536,0.49503934314060893
contriever,economics,103,0.48672911787665885,0.5284933645589383,0.5437158469945356
contriever,leetcode,142,0.5324169530355097,0.5060710194730813,0.4941580756013746
contriever,pony,112,0.48096774193548386,0.5387096774193548,0.5445161290322581
contriever,psychology,101,0.5912442396313364,0.5631336405529954,0.5949308755760369
contriever,robotics,101,0.5972222222222222,0.5397509578544062,0.5325670498084292
contriever,stackoverflow,117,0.4422043010752688,0.4068100358422939,0.35125448028673834
contriever,sustainable_living,108,0.5848214285714286,0.553228021978022,0.5078983516483517
contriever,theoremqa_questions,194,0.4914235769692997,0.555664809352125,0.5647328744673877
contriever,theoremqa_theorems,76,0.5825320512820513,0.5304487179487178,0.5456730769230769
e5,aops,111,0.5894819466248038,0.49843014128728413,0.5243328100470958
e5,biology,103,0.578926282051282,0.5909455128205128,0.6302083333333334
e5,earth_science,116,0.637358877865207,0.5514881970578174,0.6031474512487172
e5,economics,103,0.46610915492957744,0.5180457746478873,0.4326584507042254
e5,leetcode,142,0.4455899198167239,0.49759450171821307,0.49553264604811
e5,pony,112,0.46875000000000006,0.45694444444444443,0.507638888888889
e5,psychology,101,0.5780780780780781,0.6046046046046046,0.6506506506506508
e5,robotics,101,0.5769745649263721,0.40093708165997327,0.4156626506024097
e5,stackoverflow,117,0.4262886597938145,0.5262886597938145,0.45103092783505155
e5,sustainable_living,108,0.5738636363636364,0.5042613636363636,0.5806107954545454
