retriever,n,max_score,gap_ctx,gap_25
bm25,1384,0.5751732988313505,0.6158209473318816,0.6177143488276688
sbert,1384,0.5651017176661604,0.6562899375467193,0.6701269159975245
contriever,1384,0.5314110650567669,0.6367048116777797,0.6225370937706494
e5,1384,0.5023008361398211,0.6523995470909303,0.6667973135137227
bge,1384,0.564054114490161,0.6603980322003578,0.6725737924865832
sf,1384,0.5194204412213891,0.6661231045117302,0.6981924505621189
inst-l,1384,0.5855650912276379,0.677427832299922,0.6870255546886762
inst-xl,1384,0.5476873661670235,0.6616440637639782,0.6782381632167499
qwen,1384,0.5118907692987495,0.6681918607220184,0.6948477751756439
qwen2,1384,0.46830122124535445,0.6425505367830382,0.6774697913585381
nomic,1384,0.6167121258039533,0.6818169063092793,0.6933416394473066
rader,1384,0.5211039102257404,0.6852790222260885,0.6957374624853204
reasonir,1384,0.5195781556572923,0.6528144756921734,0.6628406365816437
diver-retriever,1384,0.500322752483314,0.6631132558309571,0.662482373954188
